T_K,P_MPa,P_bar,rho_mol_L,V_L_mol,subset
300.0,2.1936,21.936,0.99431,1.0057225613742193,fit_batch
300.0,5.07784,50.778400000000005,2.99455,0.33393999098362026,fit_batch
305.0,7.33917,73.3917,6.86619,0.14564117800410417,fit_batch
310.0,2.28675,22.8675,0.99322,1.0068262821932703,fit_batch
310.0,5.43213,54.3213,2.99001,0.3344470419831372,fit_batch
310.0,7.12164,71.21640000000001,4.98887,0.20044619322612134,additional_conditions
310.0,7.86433,78.6433,6.85824,0.1458100037327361,fit_batch
310.0,8.06822,80.6822,7.83874,0.1275715229743556,additional_conditions
310.0,8.20823,82.0823,8.82938,0.11325823557259966,additional_conditions
310.0,8.31622,83.1622,9.87864,0.10122850918749948,fit_batch
310.0,8.44698,84.46979999999999,11.24963,0.08889181244183142,additional_conditions
310.0,8.62861,86.2861,12.59945,0.07936854386500998,additional_conditions
310.0,9.02537,90.25370000000001,14.05004,0.07117417459309724,additional_conditions
310.0,10.37431,103.7431,15.95375,0.06268118780850897,additional_conditions
320.0,2.37898,23.7898,0.99211,1.0079527471752123,fit_batch
320.0,5.77614,57.761399999999995,2.98536,0.3349679770613929,fit_batch
320.0,7.79098,77.9098,4.97857,0.2008608897735695,additional_conditions
320.0,8.87599,88.7599,6.84063,0.14618536596775444,fit_batch
320.0,9.26616,92.66159999999999,7.8168,0.12792958755500972,additional_conditions
320.0,9.59111,95.9111,8.80289,0.11359905667343338,additional_conditions
320.0,9.89966,98.9966,9.84698,0.10155397898645066,fit_batch
320.0,10.3143,103.143,11.21009,0.0892053498232396,additional_conditions
320.0,10.82856,108.28559999999999,12.54955,0.0796841321003542,additional_conditions
320.0,11.67866,116.7866,13.98434,0.07150855885940989,additional_conditions
320.0,13.81104,138.1104,15.87138,0.06300649344921487,additional_conditions
330.0,2.47023,24.7023,0.991,1.0090817356205852,fit_batch
330.0,6.11169,61.1169,2.97716,0.3358905802845665,fit_batch
330.0,8.43934,84.3934,4.96743,0.20131134208232426,additional_conditions
330.0,9.85303,98.53030000000001,6.81963,0.14663552128194637,fit_batch
330.0,10.42414,104.2414,7.78929,0.1283814057507167,additional_conditions
330.0,10.94096,109.40960000000001,8.76818,0.11404875356117233,additional_conditions
330.0,11.46213,114.6213,9.80457,0.10199325416616944,fit_batch
330.0,12.1827,121.827,11.15849,0.08961786048112244,additional_conditions
330.0,13.0513,130.513,12.49189,0.08005193769717793,additional_conditions
330.0,14.37347,143.7347,13.92777,0.07179900299904435,additional_conditions
330.0,17.32428,173.24280000000002,15.82941,0.06317354847717004,additional_conditions
